Date,Open,High,Low,Close,Adj Close,Volume
14-Feb-25,"6,115.52","6,127.47","6,107.62","6,114.63","6,114.63","2,801,121,000"
1-Feb-25,"5,969.65","6,127.47","5,923.93","6,114.63","6,114.63","46,088,230,000"
1-Jan-25,"5,903.26","6,128.18","5,773.31","6,040.53","6,040.53","88,639,380,000"
1-Dec-24,"6,040.11","6,099.97","5,832.30","5,881.63","5,881.63","86,064,900,000"
1-Nov-24,"5,723.22","6,044.17","5,696.51","6,032.38","6,032.38","84,101,980,000"
1-Oct-24,"5,757.73","5,878.46","5,674.00","5,705.45","5,705.45","82,412,430,000"
1-Sep-24,"5,623.89","5,767.37","5,402.62","5,762.48","5,762.48","79,564,830,000"
1-Aug-24,"5,537.84","5,651.62","5,119.26","5,648.40","5,648.40","81,097,300,000"
1-Jul-24,"5,471.08","5,669.67","5,390.95","5,522.30","5,522.30","80,160,390,000"
1-Jun-24,"5,297.15","5,523.64","5,234.32","5,460.48","5,460.48","76,025,620,000"
1-May-24,"5,029.03","5,341.88","5,011.05","5,277.51","5,277.51","86,849,720,000"
1-Apr-24,"5,257.97","5,263.95","4,953.56","5,035.69","5,035.69","81,747,170,000"
1-Mar-24,"5,098.51","5,264.85","5,056.82","5,254.35","5,254.35","86,299,510,000"
1-Feb-24,"4,861.11","5,111.06","4,853.52","5,096.27","5,096.27","82,066,930,000"
1-Jan-24,"4,745.20","4,931.09","4,682.11","4,845.65","4,845.65","81,737,880,000"
1-Dec-23,"4,559.43","4,793.30","4,546.50","4,769.83","4,769.83","81,530,670,000"
1-Nov-23,"4,201.27","4,587.64","4,197.74","4,567.80","4,567.80","80,970,570,000"
1-Oct-23,"4,284.52","4,393.57","4,103.78","4,193.80","4,193.80","83,519,460,000"
1-Sep-23,"4,530.60","4,541.25","4,238.63","4,288.05","4,288.05","73,482,980,000"
1-Aug-23,"4,578.83","4,584.62","4,335.31","4,507.66","4,507.66","86,840,820,000"
1-Jul-23,"4,450.48","4,607.07","4,385.05","4,588.96","4,588.96","75,063,200,000"
1-Jun-23,"4,183.03","4,458.48","4,171.64","4,450.38","4,450.38","87,983,140,000"
1-May-23,"4,166.79","4,231.10","4,048.28","4,179.83","4,179.83","88,929,200,000"
1-Apr-23,"4,102.20","4,170.06","4,049.35","4,169.48","4,169.48","70,861,260,000"
1-Mar-23,"3,963.34","4,110.75","3,808.86","4,109.31","4,109.31","113,094,800,000"
1-Feb-23,"4,070.07","4,195.44","3,943.08","3,970.15","3,970.15","80,392,280,000"
1-Jan-23,"3,853.29","4,094.21","3,794.33","4,076.60","4,076.60","80,763,810,000"
1-Dec-22,"4,087.14","4,100.96","3,764.49","3,839.50","3,839.50","85,249,330,000"
1-Nov-22,"3,901.79","4,080.11","3,698.15","4,080.11","4,080.11","92,671,910,000"
1-Oct-22,"3,609.78","3,905.42","3,491.58","3,871.98","3,871.98","95,823,760,000"
1-Sep-22,"3,936.73","4,119.28","3,584.13","3,585.62","3,585.62","94,241,020,000"
1-Aug-22,"4,112.38","4,325.28","3,954.53","3,955.00","3,955.00","92,252,350,000"
1-Jul-22,"3,781.00","4,140.15","3,721.56","4,130.29","4,130.29","81,688,320,000"
1-Jun-22,"4,149.78","4,177.51","3,636.87","3,785.38","3,785.38","106,116,710,000"
1-May-22,"4,130.61","4,307.66","3,810.32","4,132.15","4,132.15","108,860,390,000"
1-Apr-22,"4,540.32","4,593.45","4,124.28","4,131.93","4,131.93","90,367,840,000"
1-Mar-22,"4,363.14","4,637.30","4,157.87","4,530.41","4,530.41","123,546,260,000"
1-Feb-22,"4,519.57","4,595.31","4,114.65","4,373.94","4,373.94","92,667,710,000"
1-Jan-22,"4,778.14","4,818.62","4,222.62","4,515.55","4,515.55","95,562,890,000"
1-Dec-21,"4,602.82","4,808.93","4,495.12","4,766.18","4,766.18","92,750,180,000"
1-Nov-21,"4,610.62","4,743.83","4,560.00","4,567.00","4,567.00","88,268,840,000"
1-Oct-21,"4,317.16","4,608.08","4,278.94","4,605.38","4,605.38","80,253,600,000"
1-Sep-21,"4,528.80","4,545.85","4,305.91","4,307.54","4,307.54","85,528,860,000"
1-Aug-21,"4,406.86","4,537.36","4,367.73","4,522.68","4,522.68","80,500,760,000"
1-Jul-21,"4,300.73","4,429.97","4,233.13","4,395.26","4,395.26","84,255,620,000"
1-Jun-21,"4,216.52","4,302.43","4,164.40","4,297.50","4,297.50","102,544,180,000"
1-May-21,"4,191.98","4,238.04","4,056.88","4,204.11","4,204.11","88,321,860,000"
1-Apr-21,"3,992.78","4,218.78","3,992.78","4,181.17","4,181.17","83,124,090,000"
1-Mar-21,"3,842.51","3,994.41","3,723.34","3,972.89","3,972.89","122,371,150,000"
1-Feb-21,"3,731.17","3,950.43","3,725.62","3,811.15","3,811.15","99,082,320,000"
1-Jan-21,"3,764.61","3,870.90","3,662.71","3,714.24","3,714.24","106,117,800,000"
1-Dec-20,"3,645.87","3,760.20","3,633.40","3,756.07","3,756.07","96,375,680,000"
